Country,M_Cm
Netherlands,183.78
Montenegro,183.3
Estonia,182.79
Bosnia and Herzegovina,182.47
Iceland,182.1
Denmark,181.89
Czech Republic,181.19
Latvia,181.17
Slovakia,181.02
Slovenia,180.98
Croatia,180.76
Serbia,180.74
Lithuania,180.72
Poland,180.69
Finland,180.57
Norway,180.48
Sweden,180.46
Germany,180.28
Dominica,180.15
Bermuda,179.72
Puerto Rico,179.48
Greece,179.26
Belgium,179.09
Ireland,179.04
Lebanon,178.96
Andorra,178.84
Australia,178.77
Canada,178.75
Switzerland,178.73
Grenada,178.7
Belarus,178.69
France,178.6
Austria,178.52
Luxembourg,178.46
Cook Islands,178.32
United Kingdom,178.21
Romania,177.82
New Zealand,177.72
Saint Vincent and the Grenadines,177.49
Niue,177.19
American Samoa,177.09
Barbados,177.03
Jamaica,176.97
United States,176.94
Tunisia,176.85
Russia,176.65
Hungary,176.59
Saint Lucia,176.43
Libya,176.39
Turkey,176.36
Morocco,176.35
Senegal,176.18
Spain,176.11
Tokelau,176.06
Trinidad and Tobago,176.03
Israel,175.98
Seychelles,175.9
Brazil,175.73
China,175.66
Iran,175.62
Moldova,175.59
South Korea,175.52
Kazakhstan,175.5
Tonga,175.11
Palestine,175.05
Algeria,175.04
Mali,175.02
Kuwait,174.96
Jordan,174.84
Hong Kong,174.83
Argentina,174.76
North Korea,174.69
Dominican Republic,174.65
Egypt,174.57
Suriname,174.51
Italy,174.42
Bahamas,174.4
Malta,174.38
Turkmenistan,174.37
Uruguay,174.32
Bulgaria,174.17
United Arab Emirates,174.08
Albania,174.07
Costa Rica,174.04
Azerbaijan,174.0
Fiji,173.98
Greenland,173.84
Paraguay,173.81
Iraq,173.79
Saint Kitts and Nevis,173.71
Armenia,173.67
Cuba,173.56
Venezuela,173.53
Singapore,173.5
Qatar,173.27
Botswana,173.16
Mauritius,173.01
Chile,172.88
Bahrain,172.76
Cyprus,172.75
Haiti,172.23
Guyana,172.15
Cameroon,172.13
Sudan,172.07
Japan,172.06
Burkina Faso,171.89
Colombia,171.85
Chad,171.84
Oman,171.7
Kyrgyzstan,171.66
Syria,171.64
Thailand,171.61
Nigeria,171.55
Tuvalu,171.3
Republic of the Congo,171.23
Somalia,171.22
Uzbekistan,170.94
Djibouti,170.77
Guinea,170.7
Zimbabwe,170.69
Mongolia,170.67
Palau,170.62
Eritrea,170.6
Belize,170.52
Gabon,170.48
Kenya,170.46
Sao Tome and Principe,170.37
Ghana,170.3
Mexico,170.29
Niger,170.26
Panama,170.19
Togo,170.14
Kiribati,170.09
Nicaragua,169.91
Namibia,169.75
South Africa,169.63
Honduras,169.59
Micronesia,169.57
Eswatini,169.41
Malaysia,169.2
Central African Republic,169.01
Vietnam,168.89
Ethiopia,168.84
Uganda,168.74
DR Congo,168.6
Afghanistan,168.5
Angola,168.46
Benin,168.44
Tajikistan,168.43
Gambia,168.36
Vanuatu,168.29
Ivory Coast,168.23
Equatorial Guinea,168.18
Guinea-Bissau,168.17
Bolivia,168.1
Sri Lanka,168.07
Lesotho,167.92
Maldives,167.87
Comoros,167.72
Zambia,167.62
Burundi,167.34
Pakistan,167.33
Ecuador,167.32
Bhutan,167.05
Tanzania,166.98
Peru,166.75
Myanmar,166.7
India,166.5
Sierra Leone,166.43
Brunei,166.31
Indonesia,166.26
Rwanda,166.02
Malawi,165.68
Mauritania,165.54
Liberia,165.48
Cambodia,165.35
Marshall Islands,165.26
Philippines,165.23
Madagascar,165.16
Bangladesh,165.08
Yemen,164.42
Nepal,164.36
Mozambique,164.3
Papua New Guinea,163.1
Solomon Islands,163.07
Laos,162.78
Timor-Leste,160.13
